Outcome,Date,FAR,Protester,Summary,Category,Topic,Case Details,Comments,ID
"[""Denied""]","10/17/2021","8.405-2","Property at 4545 Montogomery | U.S. GAO","<div>Protest that agency unreasonably rejected lease proposal is denied where protester proposed reimbursement of tenant improvement costs as a lump sum payment, and the solicitation stated that tenant improvement costs should be amortized and any lump sum payments for these costs were solely at the discretion of the government. Basically, the vendor submitted two versions of their proposal, the Govt asked them to pick one and followed up via email to ensure they were on the same page. They were. The vendor didn't respond to the email. The version they chose was unacceptable due to the lump sum payment methodology.</div>","Innovation","[""Alternate Proposal""]","https://www.gao.gov/products/b-420006%23mt=e-report",,"1"
"[""Dismissed""]","05/31/2023","16.505","Karthik Consulting, LLC | U.S. GAO","<div>&quot;A vendor that competes under a patently ambiguous solicitation does so at its own peril, and cannot later complain when the agency proceeds in a manner inconsistent with one of the possible interpretations. Shertech Pharmacy Piedmont, LLC, B-413945, Nov. 7, 2016, 2016 CPD ¶ 325 at 4 n.2. The agency has explained that it intended to set aside this requirement for vendors that were 8(a) small businesses at the time of quotation submission. Accordingly, the
<br>protester’s argument that it was inappropriately excluded from the competition because it is not a current 8(a) program participant represents an untimely protest of a patent ambiguity.[3]&quot;</div>","Solicitation Integrity","[""Ambiguity""]","https://www.gao.gov/products/b-421610.2%23mt=e-report",,"2"
"[""Denied""]","06/25/2021","16.505","Mountainside Medical Equipment, Inc. | U.S. GAO","<div class=""ExternalClassFB7728A583A84F29A32FA0CE6B7DE45B"">The agency twice amended the solicitation, each time extending the quotation submission deadline.&%23160; The VA states that four vendors, including Mountainside and Magellan, submitted quotations.&%23160; After the first of the two amendments, Mountainside submitted a timely quotation; however, Mountainside did not sign and return either of the two amendments.&%23160; Req. for Dismissal, at 2.
<p>In a January 14, 2021 email to the protester, the agency explained that because Mountainside’s quotation did not acknowledge receipt of either of the amendments, the quotation was incomplete and thus could not be considered for award. Here, because the agency found Mountainside ineligible for award based on its failure to acknowledge the amendments as required by the solicitation--a determination that Mountainside did not timely challenge--the protester lacks the requisite interest to protest the award<br></p></div>","Solicitation Integrity","[""Amendments""]","https://www.gao.gov/products/b-419839%23mt=e-report",,"4"
"[""Denied""]","03/10/2023","8.405-2","Harmonia Holdings Group, LLC | COFC","<div>FAR 15.206(a) provides that &quot;[w]hen, either before or after receipt of proposals, the Government changes its requirements or terms and conditions, the contracting officer shall amend the solicitation.&quot; Federal Acquisition Regulation 15.206(a) [hereinafter FAR]. This Court has previously stated that, while an amendment to the Solicitation may necessitate an opportunity for offerors to revise their proposals, &quot;there simply is no hard-and-fast rule that offerors must be permitted to submit entirely new, updated proposals . . . in response to any and all solicitation amendments.&quot; See WaveLink, Inc. v. United States, 154 Fed. Cl. 245, 286 (2021). Rather, such a right arises only in the case of &quot;major [*22]&%23160; modifications—changes that could result in a substantially different proposal.&quot; Portfolio Disposition Mgmt. Grp. LLC v. United States, 64 Fed. Cl. 1, 12 (2005) (citing material departures from the scope of the original procurement, such as the &quot;type of work, performance period, and costs,&quot; as a factor in determining a major modification).</div>","Solicitation Integrity","[""Amendments""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2019cv0674-73-0",,"5"
"[""Denied""]","06/15/2015","8.405-2","Technical Professional Services I U.S. GAO","<div class=""ExternalClass50833B28DBED4482A73B4548E2AACAB2"">We agree with the protester that the contracting officer’s October 2 e-mail was misleading. The record shows that the decision not to exercise the option in the TPS contract, the decision not to solicit TPS, and the award to Alpha, predated this e-mail exchange by months. That said, we do not agree that this e-mail exchange establishes that the agency acted improperly when it decided--several months earlier--not to solicit the protester.
<p>In this regard, the protester has offered no convincing rationale as to how the contracting officer’s statement on October 2 regarding the option in TPS’s contract, demonstrates that the agency was acting with improper bias or in bad faith in June when it decided not to solicit the protester. Career Innovations, B-404377.4, May 24, 2011, 2011 CPD ¶ 111 at 7-9 (“[G]overnment officials are presumed to act in good faith, and we will not attribute unfair or prejudicial motives to procurement officials on the basis of inference or supposition.”). Furthermore, as discussed in our underlying decision, the VA identified TPS’s inability to provide full staffing for several months under its incumbent contract as the reason the agency did not solicit the protester. Agency Report at 13; CO’s Statement at 3. While TPS contends that the staffing issues were a direct result of the actions of the agency, it is undisputed that the contract was not fully staffed for three months and that the agency viewed this as a performance issue. CO’s Statement at 3; Protester’s Comments, Hoxworth Declaration at 1-2. On this record, we cannot say that the agency’s decision not to provide the protester with the RFQ was motivated by improper bias or bad faith. See Tiger Enters., Inc., B-293951, July 26, 2004, 2004 CPD ¶ 141 at 3-4 n.1 (finding that agency’s unreasonable past performance evaluation did not provide credible evidence of improper bias or bad faith).<br></p></div>","Post-Selection Procedures","[""Bad Faith Challenge""]","https://www.gao.gov/assets/b-410640.2.pdf",,"6"
"[""Denied""]","06/21/2016","8.405-2","East West, Inc. | U.S. GAO","<div class=""ExternalClass1207EA4863034D5A81D7BD3B4B1EC462""><div>Next, East West alleges that the agency acted in bath faith by representing to our Office that it would specifically seek approval from SBA under 13 C.F.R. § 124.504(d)(3) to remove the requirement from the 8(a) program, and then instead submitting an offer letter to the SBA to have the requirement accepted into the 8(a) program.[7] &%23160;Protest (B‑412719.3) at 2. &%23160;As an initial matter, we do not construe the agency’s notice of corrective action to have committed to removing its requirement from the 8(a) program. &%23160;Rather, the agency’s notice simply states that it intends to &quot;contact&quot; the SBA, which it has done. &%23160;Agency Notice of Corrective Action at 1. &%23160;In any event, to extent the agency’s notice could be construed as a representation that the agency would formally seek to remove its requirement from the 8(a) program, the contracting officer explains that the agency’s decision to offer the requirement to the SBA for acceptance into the 8(a) program was based upon the recommendation of the SBA. &%23160;CO Statement at 1. &%23160;We find no evidence of bad faith on the part of the agency in this respect.<br></div></div>","Post-Selection Procedures","[""Bad Faith Challenge""]","https://www.gao.gov/products/b-412719.2%2Cb-412719.3%2Cb-412719.4",,"7"
"[""Denied""]","01/18/2023","16.505","Paradyme Management, Inc. | U.S. GAO","<div class=""ExternalClass0A09CF8491B5449BA1E77FD8B3E61A2D""><div>The agency responds that its assessment of adjectival ratings under the staffing and team composition factor was reasonable and in accordance with the terms of the solicitation. Supp. MOL at 13‑15. In this respect, the agency argues that the solicitation’s definition of a high confidence rating does not preclude some risk being assessed to an offeror’s proposal and therefore the identification of a risk in Ekagra’s proposal was not evidence that a high confidence rating was unreasonable. Id. at 14.
</div><p>On this record, we see no basis to object to the agency’s evaluation conclusions. The record reflects that the agency clearly identified and documented the risks highlighted by the protester as well as the agency’s conclusion that it considered Paradyme’s staffing and team composition proposal to be superior to Ekagra’s. While the protester claims that Ekagra’s proposal has not met the solicitation’s definition of a rating of high confidence--that the offeror will be successful in performing the task order with little or no agency intervention--it does not point to any language in the definition that prohibits the assessment of a rating of high confidence when the agency has identified a risk.[10] Nor does the protester meaningfully point to any other aspect of Ekagra’s staffing and team composition proposal that should have resulted in the offeror receiving a lower confidence rating. In sum, the protester has not demonstrated that the agency’s evaluation under the staffing and team composition factor was unreasonable or not in accordance with the terms of the solicitation.<br></p></div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-421203%2Cb-421203.2%23mt=e-report",,"8"
"[""Denied""]","01/03/2020","8.405-3","G4S I COFC No. 19-1329C","<div class=""ExternalClassE0A40101CAA549C9B38BC7D09EDA5C58"">According to G4S, CBP’s price reasonableness analysis did not comply with the RFQ’s terms. G4S adds that CBP provided inadequate documentation of its decision-making process, “depriv[ing] this Court of the ability to determine the reasonableness of the agency’s procurement decisions.” Dkt. No. 33 at 20.
<p>The amount of documentation required in a FAR 8.4 streamlined procurement is far less than that required by FAR 15. Accordingly, CBP’s documentation regarding its cross-walk analysis was appropriate and in accordance with the solicitation’s requirements.<br></p></div>","Innovation","[""Brief Documentation""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2019cv1329-42-0No. 19-1329C",,"9"
"[""Denied""]","07/21/2023","8.405-3","Harmonia Holdings Group, LLC | COFC","Technical Evaluation Panel's Memorandum Halvik's Five Strengths
<p>1. Offered an appropriate agile approach and demonstrated an understanding of the need to develop and reconfirm the product backlog with the Office of the Chief
Information Officer and the Federal Railroad Administration.&%23160;</p><p>2. Uniquely among offerors, demonstrated an understanding of DOT information technology change management processes and their impact on project management.&%23160;</p><p>3. Uniquely among offerors, demonstrated familiarity and experience with key shared services technologies in use (Tableau, Socrata, Drupal) within the DOT information technology environment.&%23160;</p><p>4. Emphasized an approach that included test automation and maximizing such approaches.&%23160;</p><p>5. Uniquely among offerors, provided three (3) highly relevant and recent corporate experiences [which] were directly relevant to the tasks outlined in the solicitation,
the information technology.<br></p>","Innovation","[""Brief Documentation""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2023cv0563-37-0",,"10"
"[""Denied""]","07/05/2023","15.3","Better Direct, LLC | U.S. GAO","<div>Better Direct argues that in any case the agency should have allowed Better Direct to correct through clarifications what the protester considers a clerical error. The agency disagrees that the omission of the salient characteristics from attachment 8 was a minor or clerical error. However, even if the omission was a minor or clerical error, the agency was not required to allow Better Direct to correct the omission. Clarifications are limited exchanges between the agency and offerors that may occur when contract award without discussions is contemplated; an agency may, but is not required to, engage in clarifications that give offerors an opportunity to clarify certain aspects of proposals or to resolve minor or clerical errors. Federal Acquisition Regulation 15.306(a); Satellite Servs., Inc.,B-295866, B-295866.2, Apr. 20, 2005, 2005 CPD ¶ 84 at 2 n.2. Accordingly, we find that the agency’s decision not to engage in clarifications with Better Direct to correct the proposal was unobjectionable.</div>","Post-Selection Procedures","[""Clarifications""]","https://www.gao.gov/products/b-419893.27%23mt=e-report",,"12"
